path,has_layout,has_visual_assets,has_text,has_images,has_subnodes,raw_path,raw_filename
1_OnceAndOnceAgain,false,false,0,0,true,1_OnceAndOnceAgain,1_OnceAndOnceAgain
1_OnceAndOnceAgain.Painting,false,false,0,0,true,1_OnceAndOnceAgain/Painting,Painting
1_OnceAndOnceAgain.Painting.20230228_v1_0,false,true,0,40,false,1_OnceAndOnceAgain/Painting/20230228_v1.0,20230228_v1.0
1_OnceAndOnceAgain.Pattern,false,false,0,0,true,1_OnceAndOnceAgain/Pattern,Pattern
1_OnceAndOnceAgain.Pattern.20230203_v1_0,false,true,0,58,false,1_OnceAndOnceAgain/Pattern/20230203_v1.0,20230203_v1.0
1_OnceAndOnceAgain.handmadeBook,false,false,0,0,true,1_OnceAndOnceAgain/handmadeBook,handmadeBook
1_OnceAndOnceAgain.handmadeBook.Book,false,false,0,0,true,1_OnceAndOnceAgain/handmadeBook/Book,Book
1_OnceAndOnceAgain.handmadeBook.Book.20230228_v1_0,false,true,0,0,false,1_OnceAndOnceAgain/handmadeBook/Book/20230228_v1.0,20230228_v1.0
1_OnceAndOnceAgain.handmadeBook.Writing,false,false,0,0,true,1_OnceAndOnceAgain/handmadeBook/Writing,Writing
1_OnceAndOnceAgain.handmadeBook.Writing.20211127_v1_0,false,true,0,9,false,1_OnceAndOnceAgain/handmadeBook/Writing/20211127_v1.0,20211127_v1.0
1_OnceAndOnceAgain.programing,false,false,0,0,true,1_OnceAndOnceAgain/programing,programing
1_OnceAndOnceAgain.programing.code,false,false,0,0,true,1_OnceAndOnceAgain/programing/code,code
1_OnceAndOnceAgain.programing.code.20230717_js_v1_0,false,true,0,3,false,1_OnceAndOnceAgain/programing/code/20230717_js_v1.0,20230717_js_v1.0
1_OnceAndOnceAgain.programing.code.20230822_js_v1_1,false,true,0,1,false,1_OnceAndOnceAgain/programing/code/20230822_js_v1.1,20230822_js_v1.1
1_OnceAndOnceAgain.programing.code.20240204_rust_v2_1,false,true,0,1,false,1_OnceAndOnceAgain/programing/code/20240204_rust_v2.1,20240204_rust_v2.1
1_OnceAndOnceAgain.programing.code.20240205_rust_v2_2,false,true,0,2,false,1_OnceAndOnceAgain/programing/code/20240205_rust_v2.2,20240205_rust_v2.2
1_OnceAndOnceAgain.programing.code.20240206_rust_v2_3,false,true,0,2,false,1_OnceAndOnceAgain/programing/code/20240206_rust_v2.3,20240206_rust_v2.3
1_OnceAndOnceAgain.programing.code.20240212_rust_v2_4,false,true,0,2,false,1_OnceAndOnceAgain/programing/code/20240212_rust_v2.4,20240212_rust_v2.4
1_OnceAndOnceAgain.programing.code.20240213_rust_v2_5,false,true,0,2,false,1_OnceAndOnceAgain/programing/code/20240213_rust_v2.5,20240213_rust_v2.5
1_OnceAndOnceAgain.programing.code.20240218_rust_v2_6,false,true,0,2,false,1_OnceAndOnceAgain/programing/code/20240218_rust_v2.6,20240218_rust_v2.6
1_OnceAndOnceAgain.programing.code.20240218_rust_v2_7,false,true,0,2,false,1_OnceAndOnceAgain/programing/code/20240218_rust_v2.7,20240218_rust_v2.7
1_OnceAndOnceAgain.programing.code.20240220_rust_v2_8,false,true,0,3,false,1_OnceAndOnceAgain/programing/code/20240220_rust_v2.8,20240220_rust_v2.8
1_OnceAndOnceAgain.programing.code.20240221_rust_v2_9,false,true,0,2,false,1_OnceAndOnceAgain/programing/code/20240221_rust_v2.9,20240221_rust_v2.9
1_OnceAndOnceAgain.programing.code.20240415_rust_v4_0,false,true,0,2,false,1_OnceAndOnceAgain/programing/code/20240415_rust_v4.0,20240415_rust_v4.0
1_OnceAndOnceAgain.programing.code.20240418_rust_v4_0p,false,true,0,2,false,1_OnceAndOnceAgain/programing/code/20240418_rust_v4.0p,20240418_rust_v4.0p
1_OnceAndOnceAgain.programing.code.20240818_rust_v4_2,false,true,0,3,false,1_OnceAndOnceAgain/programing/code/20240818_rust_v4.2,20240818_rust_v4.2
1_OnceAndOnceAgain.programing.digitalPoster,false,false,0,0,true,1_OnceAndOnceAgain/programing/digitalPoster,digitalPoster
1_OnceAndOnceAgain.programing.digitalPoster.20231102_OaOA_Poster,false,true,0,1,false,1_OnceAndOnceAgain/programing/digitalPoster/20231102_OaOA_Poster,20231102_OaOA_Poster
1_OnceAndOnceAgain.programing.game,false,true,0,11,false,1_OnceAndOnceAgain/programing/game,game
1_OnceAndOnceAgain.textile,false,false,0,0,true,1_OnceAndOnceAgain/textile,textile
1_OnceAndOnceAgain.textile.CardWeave,false,false,0,0,true,1_OnceAndOnceAgain/textile/CardWeave,CardWeave
1_OnceAndOnceAgain.textile.CardWeave.20230000_v1_0,false,true,0,5,false,1_OnceAndOnceAgain/textile/CardWeave/20230000_v1.0,20230000_v1.0
1_OnceAndOnceAgain.textile.CardWeave.20240100_v2_0,false,true,0,7,false,1_OnceAndOnceAgain/textile/CardWeave/20240100_v2.0,20240100_v2.0
1_OnceAndOnceAgain.textile.Knit,false,false,0,0,true,1_OnceAndOnceAgain/textile/Knit,Knit
1_OnceAndOnceAgain.textile.Knit.20230000_v1_1,false,true,0,6,false,1_OnceAndOnceAgain/textile/Knit/20230000_v1.1,20230000_v1.1
1_OnceAndOnceAgain.textile.Knit.20230130_v1_0,false,true,0,1,false,1_OnceAndOnceAgain/textile/Knit/20230130_v1.0,20230130_v1.0
1_OnceAndOnceAgain.textile.Knit.20231200_v2_0,false,true,0,4,false,1_OnceAndOnceAgain/textile/Knit/20231200_v2.0,20231200_v2.0
1_OnceAndOnceAgain.textile.Knit.20240200_v3_0,false,true,0,6,false,1_OnceAndOnceAgain/textile/Knit/20240200_v3.0,20240200_v3.0
1_OnceAndOnceAgain.textile.Weave,false,false,0,0,true,1_OnceAndOnceAgain/textile/Weave,Weave
1_OnceAndOnceAgain.textile.Weave.20230426_v1_0,false,true,0,22,false,1_OnceAndOnceAgain/textile/Weave/20230426_v1.0,20230426_v1.0
1_OnceAndOnceAgain.textile.Weave.20230701_v1_1,false,true,0,12,false,1_OnceAndOnceAgain/textile/Weave/20230701_v1.1,20230701_v1.1
1_OnceAndOnceAgain.textile.Weave.20240213_v2_0,false,true,0,18,false,1_OnceAndOnceAgain/textile/Weave/20240213_v2.0,20240213_v2.0
